 time    0.0000000000000000     
          -5   1  0.000000000000000E+000
          -4   1  0.000000000000000E+000
          -3   1  0.000000000000000E+000
          -2   1  0.000000000000000E+000
          -1   1  0.000000000000000E+000
 time    1.0000000000000001E-009
          -5   1  7.495245675451422E-012
          -4   1  1.234152163917974E-011
          -3   1  2.354850724977944E-011
          -2   1  5.989903715712738E-011
          -1   1  3.166770483296745E-010
 time    2.0000000000000001E-009
          -5   1  1.499011735370968E-011
          -4   1  2.468254563902945E-011
          -3   1  4.709608330099857E-011
          -2   1  1.197940927373858E-010
          -1   1  6.333687126741838E-010
 time    4.0000000000000002E-009
          -5   1  2.997836487071268E-011
          -4   1  4.936260321326383E-011
          -3   1  9.418751089829238E-011
          -2   1  2.395682800956859E-010
          -1   1  1.266810498269324E-009
 time    6.0000000000000008E-009
          -5   1  4.496511669738523E-011
          -4   1  7.404067049383888E-011
          -3   1  1.412752142794239E-010
          -2   1  3.593265461563168E-010
          -1   1  1.900310733616601E-009
 time    8.0000000000000005E-009
          -5   1  5.995037298291792E-011
          -4   1  9.871674761257274E-011
          -3   1  1.883591937333812E-010
          -2   1  4.790688934234841E-010
          -1   1  2.533869411563730E-009
 time    1.0000000000000000E-008
          -5   1  7.493413387648653E-011
          -4   1  1.233908347012799E-010
          -3   1  2.354394495491270E-010
          -2   1  5.987953244009548E-010
          -1   1  3.167486524959474E-009
 time    1.5000000000000002E-008
          -5   1  1.123841922414378E-010
          -4   1  1.850636167950638E-010
          -3   1  3.531168208641645E-010
          -2   1  8.980119641399047E-010
          -1   1  4.751894418318463E-009
 time    2.0000000000000000E-008
          -5   1  1.498249090669246E-010
          -4   1  2.467239653201968E-010
          -3   1  4.707709284679482E-010
          -2   1  1.197129205260971E-009
          -1   1  6.336667309886981E-009
 time    3.0000000000000004E-008
          -5   1  2.246689951869131E-010
          -4   1  3.699949445611911E-010
          -3   1  7.059861249059854E-010
          -2   1  1.794966405424920E-009
          -1   1  9.507672193137177E-009
 time    4.0000000000000001E-008
          -5   1  2.994757523986764E-010
          -4   1  4.932162224712523E-010
          -3   1  9.411083386630554E-010
          -2   1  2.392406635698430E-009
          -1   1  1.268013528474139E-008
 time    6.0000000000000008E-008
          -5   1  4.489400998361507E-010
          -4   1  7.394601043943379E-010
          -3   1  1.410981123216594E-009
          -2   1  3.585701708105684E-009
          -1   1  1.903088716899828E-008
 time    8.0000000000000002E-008
          -5   1  5.982554291195443E-010
          -4   1  9.855054444126543E-010
          -3   1  1.880482553467055E-009
          -2   1  4.777413882305937E-009
          -1   1  2.538745764721425E-008
 time    9.9999999999999995E-008
          -5   1  7.474218887584661E-010
          -4   1  1.231352374173006E-009
          -3   1  2.349612917230800E-009
          -2   1  5.967545642401415E-009
          -1   1  3.174983961500243E-008
 time    1.4999999999999999E-007
          -5   1  1.119409918520755E-009
          -4   1  1.844731691423362E-009
          -3   1  3.520124151121998E-009
          -2   1  8.933036106777932E-009
          -1   1  4.769200578687708E-008
 time    1.9999999999999999E-007
          -5   1  1.490472136944503E-009
          -4   1  2.456875054323405E-009
          -3   1  4.688325184514434E-009
          -2   1  1.188872610520236E-008
          -1   1  6.367027297492802E-008
 time    2.9999999999999999E-007
          -5   1  2.228911713412670E-009
          -4   1  3.676234374970524E-009
          -3   1  7.015522119256725E-009
          -2   1  1.776120939773213E-008
          -1   1  9.577033634597366E-008
 time    3.9999999999999998E-007
          -5   1  2.963684715403569E-009
          -4   1  4.890682671652313E-009
          -3   1  9.333549423041440E-009
          -2   1  2.359509845890779E-008
          -1   1  1.280130597108076E-007
 time    5.9999999999999997E-007
          -5   1  4.418709325171688E-009
          -4   1  7.300065869932209E-009
          -3   1  1.393320714863333E-008
          -2   1  3.511087810620254E-008
          -1   1  1.930622958557120E-007
 time    7.9999999999999996E-007
          -5   1  5.859355956568797E-009
          -4   1  9.690065919332452E-009
          -3   1  1.849674711129828E-008
          -2   1  4.647699660011636E-008
          -1   1  2.586685668151165E-007
 time    9.9999999999999995E-007
          -5   1  7.285766632259278E-009
          -4   1  1.206081266843898E-008
          -3   1  2.302444606394049E-008
          -2   1  5.769575124081288E-008
          -1   1  3.248252149348201E-007
 time    1.5000000000000000E-006
          -5   1  1.076498391051167E-008
          -4   1  1.786935845541938E-008
          -3   1  3.412392074909060E-008
          -2   1  8.485601127773251E-008
          -1   1  4.935562822907793E-007
 time    1.9999999999999999E-006
          -5   1  1.415950431659723E-008
          -4   1  2.356157741537441E-008
          -3   1  4.500776798087298E-008
          -2   1  1.111626089502106E-007
          -1   1  6.655298476477867E-007
 time    3.0000000000000001E-006
          -5   1  2.062585616787829E-008
          -4   1  3.449636107933707E-008
          -3   1  6.594478536388201E-008
          -2   1  1.606038724346876E-007
          -1   1  1.021722644877879E-006
 time    3.9999999999999998E-006
          -5   1  2.678485164924667E-008
          -4   1  4.499682476281332E-008
          -3   1  8.608169917574826E-008
          -2   1  2.070966774048003E-007
          -1   1  1.389484075658282E-006
 time    6.0000000000000002E-006
          -5   1  3.798496193909537E-008
          -4   1  6.437772864489730E-008
          -3   1  1.233816081622529E-007
          -2   1  2.898159573571491E-007
          -1   1  2.166518142361827E-006
 time    7.9999999999999996E-006
          -5   1  4.816861190262322E-008
          -4   1  8.225021815325397E-008
          -3   1  1.579176847547354E-007
          -2   1  3.635760908646800E-007
          -1   1  2.980862642560267E-006
 time    9.9999999999999991E-006
          -5   1  5.742802413884688E-008
          -4   1  9.872015696940263E-008
          -3   1  1.898850942211070E-007
          -2   1  4.294977204240645E-007
          -1   1  3.828803784926141E-006
 time    1.4999999999999999E-005
          -5   1  7.595347721438390E-008
          -4   1  1.325643049293950E-007
          -3   1  2.563215120209148E-007
          -2   1  5.577837960480492E-007
          -1   1  6.114442825081062E-006
 time    1.9999999999999998E-005
          -5   1  9.077894662783768E-008
          -4   1  1.603086254482236E-007
          -3   1  3.114501865782523E-007
          -2   1  6.585242902341683E-007
          -1   1  8.531831516656811E-006
 time    2.9999999999999997E-005
          -5   1  1.105569812289846E-007
          -4   1  1.986104284911637E-007
          -3   1  3.892148160957013E-007
          -2   1  7.913003451034952E-007
          -1   1  1.371882146493150E-005
 time    3.9999999999999996E-005
          -5   1  1.237490193386936E-007
          -4   1  2.249136999205885E-007
          -3   1  4.437769275917575E-007
          -2   1  8.800896552755924E-007
          -1   1  1.914339080959796E-005
 time    4.9999999999999996E-005
          -5   1  1.325478594551568E-007
          -4   1  2.429005294920684E-007
          -3   1  4.818714065485427E-007
          -2   1  9.400897385195863E-007
          -1   1  2.472915069607055E-005
 time    5.9999999999999995E-005
          -5   1  1.384163172970876E-007
          -4   1  2.551566832898911E-007
          -3   1  5.083471399447851E-007
          -2   1  9.809201403134198E-007
          -1   1  3.042459205029310E-005
 time    7.9999999999999993E-005
          -5   1  1.442881761913735E-007
          -4   1  2.677428486090275E-007
          -3   1  5.362848600112881E-007
          -2   1  1.023362170186161E-006
          -1   1  4.204147443841515E-005
 time    9.9999999999999991E-005
          -5   1  1.472256019449012E-007
          -4   1  2.741727357334489E-007
          -3   1  5.509065801224132E-007
          -2   1  1.045472779756886E-006
          -1   1  5.377358559255159E-005
 time    1.1999999999999999E-004
          -5   1  1.486950226887200E-007
          -4   1  2.774442496901451E-007
          -3   1  5.585061890191759E-007
          -2   1  1.056981648516988E-006
          -1   1  6.556319534319143E-005
 time    1.3999999999999999E-004
          -5   1  1.494301499022778E-007
          -4   1  2.791033108930936E-007
          -3   1  5.624325291330661E-007
          -2   1  1.062956501431121E-006
          -1   1  7.738025740144573E-005
 time    1.5999999999999999E-004
          -5   1  1.497980544471271E-007
          -4   1  2.799424014503534E-007
          -3   1  5.644506127228768E-007
          -2   1  1.066047648020861E-006
          -1   1  8.920918438689888E-005
 time    1.7999999999999998E-004
          -5   1  1.499823585998603E-007
          -4   1  2.803658690148628E-007
          -3   1  5.654832204095223E-007
          -2   1  1.067640951244757E-006
          -1   1  1.010419255253414E-004
 time    1.9999999999999998E-004
          -5   1  1.500749031447934E-007
          -4   1  2.805792460577564E-007
          -3   1  5.660095032573033E-007
          -2   1  1.068459294223619E-006
          -1   1  1.128743450557817E-004
 time    2.5000000000000001E-004
          -5   1  1.501426895729125E-007
          -4   1  2.807334737753596E-007
          -3   1  5.663934336274039E-007
          -2   1  1.069064288676420E-006
          -1   1  1.424346401315052E-004
 time    3.0000000000000003E-004
          -5   1  1.501639828330007E-007
          -4   1  2.807787643569132E-007
          -3   1  5.665052696707534E-007
          -2   1  1.069245075216645E-006
          -1   1  1.719687577755812E-004
 time    4.0000000000000002E-004
          -5   1  1.501759095835084E-007
          -4   1  2.807969971898350E-007
          -3   1  5.665452770065609E-007
          -2   1  1.069319892485148E-006
          -1   1  2.309265246702364E-004
 time    5.0000000000000001E-004
          -5   1  1.501828616563591E-007
          -4   1  2.808034873158271E-007
          -3   1  5.665549894074956E-007
          -2   1  1.069350564344665E-006
          -1   1  2.897739279561523E-004
 time    6.0000000000000006E-004
          -5   1  1.501889667956482E-007
          -4   1  2.808081474423655E-007
          -3   1  5.665599501796978E-007
          -2   1  1.069377819846291E-006
          -1   1  3.485120605310117E-004
 time    8.0000000000000004E-004
          -5   1  1.502006216535818E-007
          -4   1  2.808168515468815E-007
          -3   1  5.665685134930326E-007
          -2   1  1.069442928987057E-006
          -1   1  4.655585539516499E-004
 time    1.0000000000000000E-003
          -5   1  1.502120072995618E-007
          -4   1  2.808254397731823E-007
          -3   1  5.665770102972340E-007
          -2   1  1.069524350496444E-006
          -1   1  5.821825909015482E-004
 time    1.5000000000000000E-003
          -5   1  1.502397720483648E-007
          -4   1  2.808467206485722E-007
          -3   1  5.665982292150484E-007
          -2   1  1.069798927369743E-006
          -1   1  8.711826256361343E-004
 time    2.0000000000000000E-003
          -5   1  1.502667180296392E-007
          -4   1  2.808676472309108E-007
          -3   1  5.666191643616722E-007
          -2   1  1.070171656512884E-006
          -1   1  1.157716662120496E-003
 time    3.0000000000000001E-003
          -5   1  1.503191715122582E-007
          -4   1  2.809092380907087E-007
          -3   1  5.666608707074865E-007
          -2   1  1.071200504752023E-006
          -1   1  1.721478788754287E-003
 time    4.0000000000000001E-003
          -5   1  1.503694256957941E-007
          -4   1  2.809498484093464E-007
          -3   1  5.667017013585411E-007
          -2   1  1.072593415257692E-006
          -1   1  2.276548526729803E-003
 time    5.0000000000000001E-003
          -5   1  1.504178611179655E-007
          -4   1  2.809896254548070E-007
          -3   1  5.667417684319223E-007
          -2   1  1.074335756838173E-006
          -1   1  2.823472223895516E-003
 time    6.0000000000000001E-003
          -5   1  1.504647709672254E-007
          -4   1  2.810286895223594E-007
          -3   1  5.667811745700917E-007
          -2   1  1.076413407967908E-006
