 time    0.0000000000000000     
           1   4  0.000000000000000E+000
           2   4  0.000000000000000E+000
           3   4  0.000000000000000E+000
           4   4  0.000000000000000E+000
 time    1.0000000000000001E-009
           1   4  1.468476112951761E-010
           2   4  4.440334608804514E-011
           3   4  2.211473204274859E-011
           4   4  1.360785345449637E-011
 time    2.0000000000000001E-009
           1   4  2.936558252385239E-010
           2   4  8.880071534703861E-011
           3   4  4.422747699082993E-011
           4   4  2.721478919213129E-011
 time    4.0000000000000002E-009
           1   4  5.871155095065648E-010
           2   4  1.775716110083479E-010
           3   4  8.844503281840720E-011
           4   4  5.442499476077785E-011
 time    6.0000000000000008E-009
           1   4  8.804192898429345E-010
           2   4  2.663187280398333E-010
           3   4  1.326546688529047E-010
           4   4  8.163153937469241E-011
 time    8.0000000000000005E-009
           1   4  1.173567999888773E-009
           2   4  3.550421304359205E-010
           3   4  1.768563993353787E-010
           4   4  1.088344279767738E-010
 time    1.0000000000000000E-008
           1   4  1.466562467281595E-009
           2   4  4.437418819596212E-010
           3   4  2.210502384725042E-010
           4   4  1.360336655009645E-010
 time    1.5000000000000002E-008
           1   4  2.198097320926777E-009
           2   4  6.653444301636812E-010
           3   4  3.314857360544125E-010
           4   4  2.040090168194185E-010
 time    2.0000000000000000E-008
           1   4  2.928693335355171E-009
           2   4  8.868011262226397E-010
           3   4  4.418723526906262E-010
           4   4  2.719617020433558E-010
 time    3.0000000000000004E-008
           1   4  4.386226329699343E-009
           2   4  1.329138798537985E-009
           3   4  6.624517958640609E-010
           4   4  4.077770138289826E-010
 time    4.0000000000000001E-008
           1   4  5.840193251216591E-009
           2   4  1.770908302308405E-009
           3   4  8.828391617272473E-010
           4   4  5.435028671720977E-010
 time    6.0000000000000008E-008
           1   4  8.734556546633957E-009
           2   4  2.652232951646477E-009
           3   4  1.322858967162362E-009
           4   4  8.146014574936750E-010
 time    8.0000000000000002E-008
           1   4  1.161599649121588E-008
           2   4  3.531399501634038E-009
           3   4  1.762136908065322E-009
           4   4  1.085351563118688E-009
 time    9.9999999999999995E-008
           1   4  1.448511705030161E-008
           2   4  4.408462264105756E-009
           3   4  2.200685741674474E-009
           4   4  1.355757734288199E-009
 time    1.4999999999999999E-007
           1   4  2.158893589601707E-008
           2   4  6.588749104728253E-009
           3   4  3.292688923076168E-009
           4   4  2.029691593123234E-009
 time    1.9999999999999999E-007
           1   4  2.863058643943006E-008
           2   4  8.757380581219710E-009
           3   4  4.380500595741383E-009
           4   4  2.701608975291726E-009
 time    2.9999999999999999E-007
           1   4  4.250574398290265E-008
           2   4  1.305287697548287E-008
